source	target	note
Purchase a ticket to keep access to all stories and to remove ads.	購買門票以保留對所有故事的訪問權限並移除廣告。	full-corpus
By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用此服務即表示您同意 Torpor Games 的
<link="https://www.torporgames.com/"><color=#D9D6D6><u>服務條款</color></u></link> 與 <link="https://www.torporgames.com/"><color=#D9D6D6><u>隱私權政策</color></u></link>	full-corpus
PURCHASE	購買	full-corpus
3-day ticket	3 天門票	full-corpus
Previous Token/Panel	上一個標記/面板	full-corpus
Mohammad Darwazeh	Mohammad Darwazeh	full-corpus
Lennert Suykerbuyk	Lennert Suykerbuyk	full-corpus
Suzerain Completed	Suzerain 已完成	full-corpus
Crazy campaign	瘋狂競選	full-corpus
Sync Achievements	同步成就	full-corpus
Anrica	安里卡	full-corpus
Fighter Planes	戰鬥機	full-corpus
Select to Deploy	選擇部署	full-corpus
Create Account	建立帳號	full-corpus
ReyesEdward	ReyesEdward	full-corpus
Royal Decrees	皇家法令	full-corpus
None available.	無可用項目。	full-corpus
Watch ads to earn Story Points. Use them to advance in the story.	觀看廣告以賺取故事點數。使用點數來推進故事進度。	full-corpus
No Internet Connection	無網路連線	full-corpus
Devastator	毀滅者	full-corpus
Terador	特拉多爾	full-corpus
Continue	繼續	full-corpus
Ad Privacy Options	廣告隱私選項	full-corpus
Marla Fitzsimmons	Marla Fitzsimmons	full-corpus
Randomize	隨機化	full-corpus
You have previously signed in with ...	您之前已使用 ... 登入	full-corpus
History	歷史	full-corpus
PRESIDENT	總統	full-corpus
Official Language(S):	官方語言：	full-corpus
Daily Rewards	每日獎勵	full-corpus
Sordland	蘇德蘭	full-corpus
Movement locked!	移動已鎖定！	full-corpus
Dominic McMillan	Dominic McMillan	full-corpus
Laurence Marie Gilbertz	Laurence Marie Gilbertz	full-corpus
Battle Ships	戰艦	full-corpus
code	代碼	full-corpus
Profile	個人檔案	full-corpus
Erik Löfmark	Erik Löfmark	full-corpus
Ads	廣告	full-corpus
No tooltips available.	無可用提示。	full-corpus
Ministry of Community Surveillance	部 社區監控	full-corpus
Textures	紋理	full-corpus
Air Strike	空襲	full-corpus
General Luderin	盧德林將軍	full-corpus
Feel free to take notes here to help you remember important points throughout the story...
	請隨意在此處做筆記，以幫助您記住整個故事中的重要觀點...
	full-corpus
70	70	full-corpus
Reset Showcase	重置展示	full-corpus
Notes:	筆記：	full-corpus
To receive your gift, enter your code below.	若要領取您的禮物，請在下方輸入您的代碼。	full-corpus
Current Story: Rizia	當前故事：里齊亞	full-corpus
Yannick Hogendoorn	Yannick Hogendoorn	full-corpus
Manpower	人力	full-corpus
Dominic K	Dominic K	full-corpus
Equipment	裝備	full-corpus
Units	單位	full-corpus
Rizian Armed Forces	里齊亞武裝部隊	full-corpus
25h	25小時	full-corpus
Ministry of Design and
Quality Assurance	部 設計與
品質保證	full-corpus
Enter command...	輸入指令...	full-corpus
The criteria for the allocation of public funds shall no longer be according to the number of votes won in the general election by a political party. The new criteria shall be the proportion of seats won by a political party in the Assembly. Political parties shall receive an annual amount of 500.000 ren per Member of Assembly.


(This results in a doubling of the USP election budget and a slight increase in the other parties in the Assembly while effectively removing all funding from parties that are below the 10% election threshold.)	公共資金的分配標準將不再根據政黨在大選中獲得的選票數量而定。新的標準將是政黨在議會中獲得的席位比例。政黨每位議會議員每年將獲得50萬倫的資金。


（這導致團結社會黨的選舉預算翻倍，議會中其他政黨的預算略有增加，同時有效地取消了所有低於10%選舉門檻的政黨的資金。）	full-corpus
Support Mechanic	支持機制	full-corpus
25:04:32	25:04:32	full-corpus
Restore Defaults	恢復預設值	full-corpus
Ministry of Propaganda and 
Society	部 宣傳與
社會	full-corpus
Render Scale	渲染比例	full-corpus
Clear
	清除
	full-corpus
